idx,count_00_00_00,count_00_30_00,count_01_00_00,count_01_30_00,count_02_00_00,count_02_30_00,count_03_00_00,count_04_00_00,h3id,point,poly
47,34.0,34,34.0,28.0,27.0,11.0,10.0,5.0,892f5a329afffff,POINT(139.739061850719 35.7013438807342),"POLYGON((139.741047021438 35.7008716489492, 139.740481162509 35.702625208664, 139.738495955668 35.7030974090322, 139.737076704394 35.7018160685287, 139.73764261299 35.7000625618231, 139.739627723196 35.6995903426121, 139.741047021438 35.7008716489492))"
48,9.0,9,8.0,6.0,6.0,5.0,5.0,5.0,892f5a329bbffff,POINT(139.745017436042 35.6999270534031),"POLYGON((139.747002679918 35.69945468964, 139.74643692937 35.7012083435964, 139.744451649365 35.7016806759471, 139.743032216547 35.7003993731725, 139.743598016778 35.6986457722218, 139.745583200147 35.6981734210404, 139.747002679918 35.69945468964))"
49,6.0,6,5.0,,,,,,892f5a329d7ffff,POINT(139.755232487557 35.7023536144309),"POLYGON((139.757217986062 35.7018810808995, 139.756652384633 35.7036348938572, 139.754666849982 35.70410739598, 139.753247013415 35.702826103958, 139.753812664562 35.7010723439982, 139.755798102562 35.7005998230628, 139.757217986062 35.7018810808995))"
50,7.0,7,7.0,5.0,5.0,,,,892f5a32a23ffff,POINT(139.767186059678 35.7335155697064),"POLYGON((139.769172610024 35.7330431676205, 139.768606968502 35.7347971507983, 139.766620381963 35.7352695214559, 139.76519953369 35.7339879277438, 139.765765225008 35.7322339975469, 139.767751714807 35.7317616080815, 139.769172610024 35.7330431676205))"
51,7.0,7,7.0,,,,,,892f5a32a33ffff,POINT(139.769738228961 35.7312891745691),"POLYGON((139.771724767467 35.7308166970087, 139.771159184724 35.7325707214851, 139.769172610024 35.7330431676205, 139.767751714807 35.7317616080815, 139.768317347351 35.7300076365849, 139.770303825315 35.7295351716478, 139.771724767467 35.7308166970087))"
52,7.0,7,7.0,7.0,6.0,5.0,5.0,,892f5a32a4bffff,POINT(139.782529500819 35.7428234178927),"POLYGON((139.78451658426 35.7423508266212, 139.78395112414 35.7441050450203, 139.781964004476 35.7445776048643, 139.780542441711 35.7432959650934, 139.781107951687 35.7415417996619, 139.783094974575 35.7410692210341, 139.78451658426 35.7423508266212))"
53,9.0,9,9.0,,,,,,892f5a32a4fffff,POINT(139.779120953134 35.7420143342215),"POLYGON((139.781107951687 35.7415417996619, 139.780542441711 35.7432959650934, 139.77855540694 35.7437684682242, 139.77713397892 35.7424868247139, 139.777699538741 35.7407327122527, 139.77968647674 35.7402601903319, 139.781107951687 35.7415417996619))"
54,10.0,10,10.0,8.0,8.0,6.0,6.0,5.0,892f5a32a97ffff,POINT(139.779946199856 35.7223824264726),"POLYGON((139.781932690922 35.721909647053, 139.781367343286 35.7236638366348, 139.779380816021 35.7241365846427, 139.777959733114 35.7228551618462, 139.778525130571 35.7211010252397, 139.780511561115 35.7206282584547, 139.781932690922 35.721909647053))"
55,15.0,15,14.0,13.0,12.0,11.0,10.0,9.0,892f5a32aabffff,POINT(139.772290327628 35.7290626626643),"POLYGON((139.774276854286 35.7285901096333, 139.773711330321 35.7303441753993, 139.771724767467 35.7308166970087, 139.770303825315 35.7295351716478, 139.770869399086 35.7277811588604, 139.772855865207 35.7273086184555, 139.774276854286 35.7285901096333))"
56,5.0,5,5.0,,,,,,892f5a32b6bffff,POINT(139.749308203206 35.7377652064183),"POLYGON((139.751294534171 35.7372932007326, 139.750728566998 35.7390469010006, 139.74874219986 35.7395188752443, 139.747321896637 35.7382371680647, 139.747887913558 35.7364835207887, 139.749874183957 35.7360115277006, 139.751294534171 35.7372932007326))"
57,17.0,17,17.0,14.0,12.0,10.0,10.0,9.0,892f5a32c0fffff,POINT(139.785873243657 35.6982963547424),"POLYGON((139.787859203734 35.6978231797758, 139.787294135836 35.6995774754749, 139.785308139575 35.7000506190539, 139.783887307878 35.6987694856856, 139.784452425583 35.6970152429642, 139.786438325181 35.6965420806336, 139.787859203734 35.6978231797758))"
58,30.0,30,30.0,26.0,26.0,24.0,24.0,22.0,892f5a32c2fffff,POINT(139.776509070229 35.698907452088),"POLYGON((139.778494872603 35.6984344658348, 139.777929646369 35.7001886143848, 139.775943807823 35.7006615692444, 139.774523292172 35.6993803943243, 139.775088568185 35.6976262987583, 139.777074310073 35.6971533251288, 139.778494872603 35.6984344658348))"
59,5.0,5,,,,,,,892f5a32c4fffff,POINT(139.790992207478 35.7051752420149),"POLYGON((139.792978445678 35.7047020478706, 139.792413409752 35.7064564201077, 139.790427135353 35.7069295828614, 139.789005993569 35.7056483921241, 139.789571079327 35.7038940728591, 139.791557257041 35.7034208913596, 139.792978445678 35.7047020478706))"
60,17.0,17,17.0,12.0,12.0,6.0,6.0,,892f5a32cb7ffff,POINT(139.782450824605 35.6861551517677),"POLYGON((139.784436398098 35.6856819018035, 139.783871365932 35.6874361502611, 139.781885756272 35.687909368846, 139.780465275409 35.6866283577248, 139.781030357355 35.6848741622508, 139.783015870386 35.6844009249147, 139.784436398098 35.6856819018035))"
61,5.0,5,,,,,,,892f5a32cc3ffff,POINT(139.797789368431 35.6954566445566),"POLYGON((139.799775474202 35.6949832054285, 139.799210623458 35.6967376894215, 139.797224481489 35.6972110971711, 139.795803286931 35.6959300396552, 139.796368187515 35.6941756086324, 139.79835423282 35.6937021821555, 139.799775474202 35.6949832054285))"
